"number","title","pageid","namespace","length","touched"
"1","Biomedical_engineering","4827","","52044","20210223091510"
"2","Prosthesis","72750","","112089","20210303183743"
"3","Artificial_cardiac_pacemaker","80732","","65739","20210308014023"
"4","Tissue_engineering","307065","","103289","20210204152226"
"5","Heart_rate_monitor","1296864","","6517","20210129082804"
"6","Strategies_for_Engineered_Negligible_Senescence","1364342","","12876","20210228050556"
"7","Fantastic_Voyage:_Live_Long_Enough_to_Live_Forever","1438818","","6627","20201002174820"
"8","Sensory_substitution","1903855","","44093","20210307162350"
"9","Implant_(medicine)","1910996","","24909","20210305021410"
"10","Porous_silicon","2713504","","21469","20210220144356"
"11","Retinal_implant","3242434","","28023","20200425231322"
"12","Health_technology","3255966","","47766","20210107185434"
"13","Needle_remover","3362298","","19626","20210117105334"
"14","Metabolic_network_modelling","3408308","","47623","20201207173129"
"15","Index_of_biomedical_engineering_articles","3667008","","3536","20201223164957"
"16","Microshock","3869624","","7863","20201221163627"
"17","Whitaker_Foundation","3940345","","3216","20200321170839"
"18","Biotelemetry","4352339","","5964","20210203004359"
"19","Six_degrees_of_freedom","4535185","","8622","20210120161807"
"20","Bachelor_of_Science_in_Biomedical_Engineering","5017847","","8036","20201020153734"
"21","Mimics","5480651","","4333","20190216204208"
"22","Automated_insulin_delivery_systems","6313537","","25632","20201229104641"
"23","University_of_Toronto_Institute_of_Biomedical_Engineering","7045353","","5120","20201124025632"
"24","Biomedical_Engineering_Society","7045361","","904","20210212132146"
"25","Annual_Review_of_Biomedical_Engineering","7473734","","5721","20210211194255"
"26","NeuroArm","10764126","","7787","20200822025648"
"27","Biomimetic_material","11087760","","18523","20201212150035"
"28","Luer_taper","12514810","","3686","20210223151202"
"29","Critical_Reviews_in_Biomedical_Engineering","12634546","","1840","20190910155641"
"30","IEEE_Engineering_in_Medicine_and_Biology_Society","12953165","","3195","20210212184110"
"31","Starling_resistor","13629314","","2482","20160608043742"
"32","Cardiovascular_System_Dynamics_Society","18168344","","1288","20200915140039"
"33","Neurobioengineering","18599930","","5846","20180216140710"
"34","Bio-MEMS","19081158","","92619","20210303205111"
"35","American_Institute_for_Medical_and_Biological_Engineering","21926646","","5803","20201230020724"
"36","Ending_Aging","22092879","","6247","20210307165526"
"37","Bioceramic","22183423","","20642","20210202161041"
"38","ScanIP","24043558","","25085","20210119165919"
"39","SENSE_lab","24500855","","1727","20200502024916"
"40","Acellular_dermis","24542925","","12582","20210308124411"
"41","Krogh_length","24948426","","1022","20190107140549"
"42","Biothermia","25206411","","403","20180901060521"
"43","Artelon","25747240","","1365","20200423005234"
"44","International_Federation_of_Medical_and_Biological_Engineering","25792575","","5316","20201124133742"
"45","Cell_encapsulation","29578326","","72136","20210101052033"
"46","M._Tech_Clinical_engineering","31712157","","6567","20201204034127"
"47","Proceedings_of_the_Institution_of_Mechanical_Engineers,_Part_H","32030446","","2399","20200322125333"
"48","Terumo_Penpol","32517295","","4062","20201119171732"
"49","NO/ROS_balance","36683510","","353","20200531131702"
"50","Surface_and_bulk_erosion","37755119","","6517","20161101133312"
"51","Fluorescence_image-guided_surgery","38273081","","11818","20201211221854"
"52","Hexoskin","38383946","","3270","20200523220739"
"53","Michelangelo_Hand","38454848","","8369","20210113145053"
"54","Argus_retinal_prosthesis","38555995","","10534","20201222055814"
"55","Implantable_loop_recorder","38680298","","5671","20210124172123"
"56","Cardiac_Pacemakers,_Inc.","44079682","","3400","20200708221942"
"57","Directed_differentiation","44305878","","15064","20201219092654"
"58","Hosokawa_Micron_Powder_Systems","46225822","","4934","20190904115353"
"59","EpiBone","48223694","","922","20190816041908"
"60","Computational_anatomy","48520204","","122569","20201213072043"
"61","Canadian_Medical_and_Biological_Engineering_Society","49069031","","5664","20200503031213"
"62","Group_actions_in_computational_anatomy","49342572","","9491","20201023183016"
"63","Stent-electrode_recording_array","49375299","","8935","20210225082957"
"64","Riemannian_metric_and_Lie_bracket_in_computational_anatomy","49400436","","21547","20201007191536"
"65","Large_deformation_diffeomorphic_metric_mapping","49418115","","49975","20210124102351"
"66","Optomyography","50364516","","2500","20200302171509"
"67","Bayesian_model_of_computational_anatomy","52657328","","24436","20200712193508"
"68","Diffeomorphometry","55823152","","22606","20210216045811"
"69","External_support","56178504","","12671","20191124163529"
"70","E-NABLE","58901225","","4419","20200421100351"
"71","Applied_Spectral_Imaging","59524587","","10909","20201124123742"
"72","MOWChIP-seq","62313886","","3919","20201218110652"
"73","Life_Extension_Advocacy_Foundation","62777127","","6171","20210124173735"
"74","Julia_Schnabel","63318340","","4998","20201126092110"
