"number","title","pageid","namespace","length","touched"
"1","Autonomous_building","3022","","41084","20210122120029"
"2","Eden_Project","9971","","30637","20210306151106"
"3","Materials_science","19622","","54000","20210306013814"
"4","Post_and_lintel","41951","","6482","20200323080854"
"5","Plumbing","43982","","39562","20210216034241"
"6","Construction_engineering","50705","","8593","20201226122656"
"7","Heating,_ventilation,_and_air_conditioning","57169","","51068","20210308114538"
"8","Trombe_wall","61867","","28959","20210304010703"
"9","Heat_pump","68316","","61622","20210228162941"
"10","Earth_shelter","72232","","57832","20210306195449"
"11","Home_automation","184978","","25385","20210201125508"
"12","Crypt","211786","","6894","20210223005503"
"13","Project_manager","239050","","15050","20210304205410"
"14","Construction_delay","239053","","4766","20210303040245"
"15","Room_acoustics","248604","","5692","20210114170014"
"16","R-value_(insulation)","253849","","58865","20210304130858"
"17","Superstructure","254677","","3467","20210228101433"
"18","Stairs","256015","","60751","20210302121721"
"19","Strength_of_materials","277641","","25716","20210203041552"
"20","Aisle","297058","","15206","20210228132307"
"21","Structural_engineer","299790","","11526","20210304173224"
"22","Façade","332666","","8013","20210225135522"
"23","Brickwork","366273","","51750","20210205201409"
"24","Free_floating_screed","397041","","2694","20200914065238"
"25","HOME_STAR","511023","","6270","20210303170235"
"26","Building_code","537481","","19490","20201128125658"
"27","Basement","568963","","36276","20210227133044"
"28","Building_restoration","620530","","33683","20210203111936"
"29","Modular_building","625059","","37396","20201228201947"
"30","Log_cabin","639823","","23692","20210303141754"
"31","Timber_framing","699422","","89125","20210220025726"
"32","Structural_insulated_panel","699437","","14792","20210202221108"
"33","Chute_(gravity)","718833","","5596","20210103025720"
"34","Siding_(construction)","740818","","18766","20210227023450"
"35","Cooling_tower","750772","","59915","20210308050626"
"36","Solar_chimney","760565","","17741","20201225010358"
"37","Piping","770546","","16217","20210227134917"
"38","Building_design","812731","","6635","20201128011044"
"39","Drain-waste-vent_system","822294","","15315","20210228202928"
"40","Tilt_up","876705","","20128","20190929200713"
"41","Contour_crafting","889961","","5947","20201123002532"
"42","Curtain_wall_(architecture)","894198","","31047","20210112150019"
"43","Fill_trestle","897102","","1255","20190915110953"
"44","Joist","977139","","8184","20210130215102"
"45","Architectural_acoustics","1028926","","7659","20210305152439"
"46","Monocrete_construction","1051315","","1979","20200711185916"
"47","Lath_and_plaster","1091093","","6876","20201114183120"
"48","Catastrophic_failure","1107703","","6311","20201211153938"
"49","Double_glazing","1117374","","403","20200303145620"
"50","Index_of_construction_articles","1178500","","21855","20201028064750"
"51","Design–build","1181133","","35393","20210105054951"
"52","Project_delivery_method","1182245","","18023","20210222192722"
"53","Design–bid–build","1182267","","9145","20210111012346"
"54","Underpinning","1282368","","9399","20210123193128"
"55","General_contractor","1315070","","8415","20210302003414"
"56","Window_capping","1317767","","2767","20200613122529"
"57","Green_building","1344439","","56680","20210306135105"
"58","Life_Safety_Code","1404852","","9990","20200312090739"
"59","Insulating_concrete_form","1589872","","21295","20210101193108"
"60","Ruin_value","1630600","","7514","20210114065430"
"61","Quantity_surveyor","1638889","","4582","20210217080812"
"62","Rafter","1659313","","7288","20201224134624"
"63","Catalan_vault","1733444","","3387","20200816213037"
"64","Phase-change_material","1799584","","113822","20210227122752"
"65","Water_damage","1853642","","12276","20210301100906"
"66","Falsework","1858657","","6092","20210305083258"
"67","Cut_and_fill","1874543","","4386","20200901061257"
"68","Construction_management","2026112","","34321","20210306101715"
"69","Physical_plant","2213560","","27670","20201207072348"
"70","Zome","2234985","","18513","20210114223959"
"71","Mole_(architecture)","2242834","","12908","20210302165520"
"72","Topping_out","2321349","","6941","20210228021215"
"73","Formwork","2334148","","24962","20210215023058"
"74","Dwang","2376008","","2827","20201030205122"
"75","Architectural_technologist","2437377","","14159","20210108054907"
"76","AS_1100","2519156","","928","20191209065153"
"77","Utility_vault","2523683","","2167","20200713193018"
"78","Knee_wall","2560842","","1768","20201123115711"
"79","Roof_pitch","2790212","","6702","20210109114316"
"80","Bay_(architecture)","2933470","","2840","20210215115228"
"81","Builders'_rites","2983497","","2956","20200816221255"
"82","Cant_(architecture)","3002477","","1102","20201014134834"
"83","Purlin","3077259","","7719","20201229081028"
"84","Rubble","3090379","","3594","20210225181056"
"85","Glossary_of_architecture","3104368","","62083","20210308113537"
"86","Plasterwork","3172978","","62716","20201113050620"
"87","Flashing_(weatherproofing)","3332231","","12574","20210124153615"
"88","Infill","3371392","","21771","20210210203403"
"89","Smart_environment","3382377","","5269","20190929144040"
"90","Lighting_control_system","3391379","","9909","20210201125838"
"91","Superinsulation","3457359","","14510","20210115205746"
"92","Shipping_container_architecture","3475304","","24641","20210211030740"
"93","Building_science","3482223","","34036","20210128171538"
"94","Diagrid","3615684","","6759","20210124030229"
