"number","title","pageid","namespace","length","touched"
"1","Skull_crucible","60889","","2002","20190923182309"
"2","Powder_metallurgy","495768","","42863","20201223022514"
"3","Sol–gel_process","1701055","","31121","20201206214020"
"4","Crazing","1997957","","10926","20201209125427"
"5","Ceramic_knife","3225450","","5943","20210115092534"
"6","Lumicera","3240412","","2850","20210209010813"
"7","Daniel_J._Shanefield","4270544","","4252","20200110040332"
"8","Ceramic_engineering","4480666","","51383","20201121005657"
"9","Heatwork","4544077","","1724","20171101025743"
"10","Drago_Kolar","5931857","","6226","20201109192249"
"11","Ceramic_glaze","6717182","","24067","20210205091345"
"12","Glaze_defects","7145373","","11964","20171212141637"
"13","Pugmill","7301525","","4443","20200714195058"
"14","Ceramic_foam","7651674","","6980","20210114134122"
"15","Edward_Orton_Jr.","8334762","","6544","20210113075258"
"16","Dunt","8820363","","2379","20171004191940"
"17","Pin_insulator","9851414","","7923","20200404012806"
"18","American_Ceramic_Society","12850865","","5919","20210131172424"
"19","Ceramography","14695652","","20901","20201117210328"
"20","Mechanical_powder_press","20193762","","4076","20191111133713"
"21","Bioceramic","22183423","","20642","20210202161041"
"22","Leo_Morandi","23139198","","7320","20200915020806"
"23","Refractoriness_under_load","23562034","","2871","20210127131124"
"24","Rehydroxylation_dating","27048957","","13179","20200415003034"
"25","Lucideon","31933021","","3984","20200502020623"
"26","Ceramic_nanoparticle","32226319","","11657","20210111232045"
"27","Compaction_of_ceramic_powders","36066821","","9052","20200921064833"
"28","Ceramic_mixing_technology","36541240","","677","20201216054908"
"29","Freeze-casting","39211211","","44239","20210205184300"
"30","Kyoto_Ceramic_Co.,_Ltd.","39613175","","156","20170413193645"
"31","Ceramic_valve","43297496","","1202","20200407172951"
"32","Robocasting","44111566","","7874","20210201075935"
"33","Nanophase_ceramic","44478442","","8677","20201218180014"
"34","Magnetically_assisted_slip_casting","47965690","","3383","20201129211837"
"35","Room-temperature_densification_method","52339248","","1537","20200622230354"
"36","Government_Institute_of_Ceramic_Technology","53064660","","2407","20210112041500"
"37","Alan_Hywel_Jones","56619521","","6383","20200910085656"
"38","Mechanics_of_gelation","58840824","","15961","20200817114005"
"39","Fraunhofer-Center_for_High_Temperature_Materials_and_Design_HTL","59431451","","5446","20191126124144"
"40","Chinese_Ceramic_Society","62986086","","2415","20201216012638"
"41","Ceramic-filled_epoxy","65868364","","83","20201118210017"
