"number","title","pageid","namespace","length","touched"
"1","Civil_engineering","5762","","37980","20210226120113"
"2","Structural_engineering","45829","","35501","20210304150529"
"3","Transportation_engineering","50571","","7343","20201226181533"
"4","Environmental_engineering","50702","","23212","20210211115254"
"5","Construction_engineering","50705","","8593","20201226122656"
"6","Surveying","60891","","53866","20210126012834"
"7","Life-cycle_cost_analysis","75470","","4272","20201205001414"
"8","Tunnel","160832","","96078","20210302221220"
"9","Public_works","323158","","9355","20201230212306"
"10","Limit_state_design","352354","","11930","20201202184312"
"11","Hydraulic_engineering","521843","","22926","20210308101519"
"12","American_Society_of_Civil_Engineers","599261","","56182","20210131164056"
"13","List_of_Historic_Civil_Engineering_Landmarks","599309","","57817","20210306200144"
"14","Total_station","683327","","9647","20210126035710"
"15","Darcy's_law","849543","","21794","20210205181604"
"16","Clerk_of_works","974016","","12327","20201221041241"
"17","Levelling","1034969","","13337","20210122162329"
"18","Earthworks_(engineering)","1096021","","20360","20210105194810"
"19","Catastrophic_failure","1107703","","6311","20201211153938"
"20","Sweet_Track","1137956","","33337","20210111003818"
"21","A_Biographical_Dictionary_of_Civil_Engineers","1753261","","1907","20200407172401"
"22","Residual_stress","1873277","","17418","20201225204229"
"23","Permissible_stress_design","1877149","","1230","20200211203838"
"24","Municipal_or_urban_engineering","1905304","","10294","20210107041326"
"25","De_architectura","1972288","","28370","20210220185124"
"26","Abutment","1987765","","4974","20201220031109"
"27","Geodetic_control_network","2043284","","6462","20181130191838"
"28","Earthquake_engineering","2111048","","64760","20210303082118"
"29","Open-channel_flow","2235244","","14528","20201215024459"
"30","Drilling_and_blasting","2677209","","10874","20210204161844"
"31","Fluid_mechanics","2684988","","20178","20210210161251"
"32","Coastal_management","2833267","","50579","20210224233143"
"33","Eurocodes","2944387","","15316","20200826162750"
"34","Shoring","2980969","","5394","20210228195254"
"35","Structural_load","3633309","","10370","20210226071124"
"36","Churchill_Barriers","4043615","","7646","20210301014723"
"37","Traverse_(surveying)","4472911","","3555","20201103043832"
"38","Cutting_(transportation)","4501409","","137","20191123151235"
"39","Megget_Reservoir","4623516","","5770","20210225164259"
"40","Dolos","6011034","","10763","20201017010745"
"41","Bending_moment","6018334","","16928","20210109181258"
"42","Trafficability","6202720","","324","20201230224333"
"43","Structure_relocation","6717333","","32697","20210114025319"
"44","Incan_engineers","7083018","","28559","20210203220544"
"45","Engineering_economics","7977203","","19314","20210215213957"
"46","Parking_guidance_and_information","10796040","","2811","20200718053300"
"47","Shear_force","11443297","","3638","20210112192139"
"48","Composite_construction","12905296","","9074","20200727021800"
"49","Index_of_civil_engineering_articles","13318264","","4019","20210303083555"
"50","Tremie","13991417","","7453","20210104065629"
"51","Civil_engineering_software","14121747","","4449","20210210143958"
"52","Virtual_design_and_construction","14576735","","8493","20210228124254"
"53","Finite_strip_method","15089895","","1274","20191216112414"
"54","Ore_dock","15387114","","13957","20200811162920"
"55","Coastal_engineering","15588021","","6590","20210110055754"
"56","Common_Arrangement_of_Work_Sections","15820232","","2551","20190516173140"
"57","Avanti_(project)","15984030","","10848","20191007112822"
"58","Raising_of_Chicago","16326506","","16195","20201229192926"
"59","Cadwork","16627889","","3222","20200809161105"
"60","Cadwork_Engineer","18135339","","2893","20200607105829"
"61","Grubbing","18246942","","1833","20210109003005"
"62","Advance_Concrete","19260394","","6262","20190911011127"
"63","Civionics","19269111","","2850","20190704015231"
"64","Advance_Steel","19383106","","7490","20210202161634"
"65","Slip_forming","19677967","","9689","20201112175357"
"66","Vacuum-anchor","19679163","","2120","20201017080418"
"67","Depth–slope_product","19941455","","5904","20180503133434"
"68","Stefan's_equation","20123749","","1284","20180916194658"
"69","Skew_arch","20224056","","74590","20210114020048"
"70","CEEQUAL","20515628","","11650","20190930161555"
"71","Deck_(bridge)","20824563","","4097","20200127190505"
"72","Environmental_engineering_science","21377293","","12682","20190929013349"
"73","Obstacle","22214599","","7815","20210223004251"
"74","Engineering,_procurement,_and_construction","22415560","","3422","20201212203000"
"75","Deep_underground","23210832","","2637","20200517063915"
"76","Prix_Albert_Caquot","23754874","","2994","20200511145617"
"77","Tape_correction_(surveying)","23788022","","13224","20201117072238"
"78","Eurocode_7:_Geotechnical_design","24503316","","3909","20201127120014"
"79","Civil_estimator","24879844","","2481","20201102151430"
"80","ASCE_Library","25114007","","6755","20201213091531"
"81","El_Salvador_Project","25400790","","5609","20210117132155"
"82","Examining_Board_v._Flores_de_Otero","26494163","","2825","20190507051820"
"83","Substrate_(building)","27087418","","1134","20200407172140"
"84","EPANET","27838362","","11519","20210119103016"
"85","Cruachan_Power_Station","28200503","","17571","20201019072930"
"86","Shaft_(civil_engineering)","28419201","","1967","20210129185107"
"87","Neat_Volume","28668404","","807","20200826013329"
"88","Fifty_civil_engineering_feats_in_Turkey","28899984","","5471","20210107112615"
"89","Roadbed","28996343","","107","20130910071744"
"90","Soil_bioengineering","29476668","","6133","20190213135747"
"91","Machine_control","29528154","","1609","20200206165203"
"92","Geoprofessions","31071816","","34136","20201105133007"
"93","Headworks","32822023","","1009","20201225165002"
"94","Abrams'_law","34011791","","1263","20190503133819"
"95","Hardstand","34020087","","1671","20190412183605"
"96","Geotechnical_centrifuge_modeling","34119149","","13191","20210107221645"
"97","Pre-construction_services","35573964","","2805","20201125120634"
"98","Moment-resisting_frame","35697992","","2147","20190910194304"
"99","Hovenring","36463384","","9773","20201121212211"
"100","Lightening_holes","36652063","","8946","20200510202342"
"101","Incremental_launch","37886697","","3972","20200727034104"
"102","Endurance_time_method","38022448","","18366","20210123132238"
"103","House_raising","38736162","","2633","20210208062905"
"104","Bridge_bearing","39590258","","5550","20210218102427"
"105","Common_Marine_Inspection_Document","39663317","","1693","20200224181644"
"106","Structural_robustness","39676247","","8349","20200726093934"
"107","Robert_A.W._Carleton_Strength_of_Materials_Laboratory","40075775","","7768","20201217194314"
"108","Subsurface_utility_engineering","41259155","","10850","20210225151305"
"109","Groundwater_banking","41719991","","18545","20201218012200"
"110","Deep_hole_drilling_(DHD)_measurement_technique","42032211","","10294","20201109092607"
"111","Rock_shed","42888422","","3360","20200407172307"
"112","Road_curve","43273958","","2800","20201103043837"
"113","Local_attraction","43295831","","2388","20190405101111"
"114","Ranging_rod","43535659","","2101","20191004125435"
"115","Survey_camp","43559580","","5050","20210202163908"
"116","Temporary_adjustments_of_theodolites","43576000","","5560","20201031130946"
"117","Permanent_adjustments_of_theodolites","43579996","","1727","20190924031206"
"118","Repetition_method","43756597","","1006","20180224215536"
"119","Interceptor_ditch","43815140","","2926","20200124121603"
"120","Interference_of_the_footings","43947283","","7446","20200216024411"
"121","Reduced_level","44115663","","4479","20201127200324"
"122","Nicolson_pavement","44125395","","7189","20210103085433"
"123","Construction_contract","44135632","","18754","20210115231839"
"124","Glossary_of_levelling_terms","44224302","","4931","20200322020812"
"125","Aquifer_properties","44614166","","3600","20200306003937"
"126","Prismatic_compass","44706428","","3290","20201224063518"
"127","Cantilever_method","44719222","","1876","20200516110624"
"128","Infrastructure_and_economics","46186906","","28354","20210101225052"
"129","List_of_structural_engineering_software","46363699","","2903","20201203191427"
"130","Earthquake_rotational_loading","46410731","","5647","20190921153908"
"131","Ultrasonic_pulse_velocity_test","46788947","","8901","20210103020958"
"132","Canal_lining","46982620","","7558","20201219141604"
"133","Launching_gantry","47470324","","10736","20201229201926"
"134","Detailed_engineering","47675448","","2778","20191125130223"
"135","Pipe_marking","47770617","","9136","20200918213224"
"136","136th_Civil_Engineer_Squadron","48323501","","5151","20210109160743"
"137","Moiré_tell-tale","48765469","","462","20200714163158"
"138","Morphology_(architecture_and_engineering)","48914891","","1900","20200305123905"
"139","Free_stationing","48987289","","8374","20201019151836"
"140","Generalised_beam_theory","49341684","","6305","20201216135855"
"141","Deep_level_underground","49619199","","7758","20201210153005"
"142","Clarence_S._Coe","49961937","","20843","20200607012316"
"143","Field_(mineral_deposit)","50006201","","3469","20201002224925"
"144","Chicago_lake_tunnel","50374975","","5556","20210212223239"
"145","Glossary_of_civil_engineering","50969944","","64271","20210223145222"
"146","Bridge_Stress_Committee","51143758","","2990","20201221000705"
"147","Schuylkill_and_Susquehanna_Navigation_Company","51207093","","79051","20210120165032"
"148","Reflective_crack","51407154","","2434","20200212211755"
"149","Glossary_of_prestressed_concrete_terms","51591140","","30066","20200322020911"
"150","Daffodil_Polytechnic_Institute","51689157","","4585","20210215125544"
"151","Mine_survey","51815005","","1125","20210216140524"
"152","IAS_11","52018760","","2879","20180126021346"
"153","Cable_locator","52359990","","5148","20200913235234"
"154","Géotechnique_Lecture","53265538","","3090","20191125200344"
"155","Civil_Engineering_Database","55428952","","746","20201213100016"
"156","Society_for_Earthquake_and_Civil_Engineering_Dynamics","56023527","","6519","20200415010518"
"157","Structural_support","58300295","","11061","20210224165707"
"158","Engineering_economics_(civil_engineering)","58842024","","11621","20201218155644"
"159","Infrastructure_policy_of_Donald_Trump","60936134","","101831","20210302192415"
"160","Olivier_pile","61588990","","6400","20210114154412"
"161","California_Odha_Zertuche_Díaz","64453153","","5204","20200810144232"
"162","Movable_scaffolding_system","66234171","","3937","20201229210540"
"163","Infrastructure_policy_of_the_Joe_Biden_administration","66490983","","7551","20210228200021"
"164","Joint_Committee_on_Structural_Safety","66779253","","9096","20210308114213"
"165","Embanking_of_the_tidal_Thames","67020120","","136240","20210308110447"
