"number","title","pageid","namespace","length","touched"
"1","Android_(robot)","713","","29214","20210126212631"
"2","Algorithms_(journal)","742","","3723","20210210140516"
"3","Algorithm","775","","112643","20210307063314"
"4","Ada_Lovelace","974","","71988","20210306165445"
"5","Artificial_intelligence","1164","","224798","20210307133001"
"6","Ada_(programming_language)","1242","","53642","20210215161843"
"7","Atanasoff–Berry_computer","1349","","22573","20210118165031"
"8","Assembly_language","1368","","81803","20210301053721"
"9","Alan_Kay","1449","","24640","20210226092619"
"10","APL_(programming_language)","1451","","90013","20210306233325"
"11","Kolmogorov_complexity","1635","","39626","20210214164447"
"12","Avionics","2039","","22876","20210207144648"
"13","AppleTalk","2115","","42922","20210219073723"
"14","List_of_artificial_intelligence_projects","2142","","12601","20201225142941"
"15","Audio_signal_processing","2322","","15037","20201226185720"
"16","Analog_computer","2428","","51345","20210210225204"
"17","Asynchronous_Transfer_Mode","2499","","35838","20210202193513"
"18","Automated_theorem_proving","2546","","24576","20201226174036"
"19","Autocorrelation","2724","","38939","20210303130338"
"20","Parallel_ATA","2778","","68005","20210109233350"
"21","AI-complete","2862","","10201","20210208014402"
"22","Ackermann_function","2925","","26269","20210221031224"
"23","Association_for_Computing_Machinery","2928","","33312","20210223093646"
"24","Andrew_S._Tanenbaum","3110","","27542","20210120003310"
"25","Acceptance_testing","3233","","18611","20210304081544"
"26","Bit","3364","","27540","20210304034115"
"27","Byte","3365","","53619","20210224204643"
"28","Bell_Labs","3712","","81238","20210217170153"
"29","Bjarne_Stroustrup","3713","","18395","20210301211522"
"30","Bluetooth","3742","","109923","20210302045200"
"31","Bandwidth_(signal_processing)","3967","","13841","20210116180037"
"32","Benoit_Mandelbrot","3999","","47070","20210113150332"
"33","BASIC","4015","","53008","20210306072044"
"34","Butterfly_effect","4024","","30952","20210220001551"
"35","Binary_prefix","4077","","97957","20210219151531"
"36","BQP","4080","","9372","20210205081402"
"37","Broadcast_domain","4279","","4848","20200612140510"
"38","Backplane","4352","","10905","20201226152042"
"39","Bob_Frankston","4445","","4634","20201227053213"
"40","B_(programming_language)","4475","","12775","20210203170545"
"41","Bra–ket_notation","4542","","42913","20210307084423"
"42","Wireless_broadband","4595","","11879","20201231015434"
"43","Bilinear_transform","4628","","17337","20210124144503"
"44","Boolean_satisfiability_problem","4715","","73607","20210223175725"
"45","Berry_paradox","5036","","9238","20200711210419"
"46","Code","5225","","15140","20210301040449"
"47","Computer_data_storage","5300","","52148","20210307100659"
"48","Software","5309","","33864","20210228215332"
"49","Computer_science","5323","","64135","20210303035553"
"50","Computational_linguistics","5561","","42211","20210222181015"
"51","Claude_Shannon","5693","","51678","20210305172254"
"52","Computer_program","5783","","32532","20210216181149"
"53","Computation","5926","","6595","20210204143136"
"54","P_versus_NP_problem","6115","","61848","20210213230437"
"55","Chaitin's_constant","6205","","16366","20210225091000"
"56","Computable_number","6206","","20021","20201231122457"
"57","Chinese_room","6216","","88677","20210226032421"
"58","Client–server_model","6513","","17996","20210306084512"
"59","Control_store","6559","","10041","20210116172612"
"60","Computer_vision","6596","","55993","20210221054725"
"61","Bus_(computing)","6631","","31964","20210219163012"
"62","Computer_animation","6777","","37256","20210306053854"
"63","Charge-coupled_device","6804","","45479","20210107195509"
"64","Cache_(computing)","6829","","29380","20210306224720"
"65","List_of_computer_scientists","6834","","47004","20210303104901"
"66","Church–Turing_thesis","6854","","56533","20210305045208"
"67","Control_engineering","7011","","20693","20210304195853"
"68","Control_theory","7039","","55288","20210304233625"
"69","Computer_security","7398","","174476","20210306190249"
"70","Processor_design","7597","","19823","20210128115210"
"71","Complex_instruction_set_computer","7622","","13774","20210212020833"
"72","Data_compression","8013","","63719","20210301164402"
"73","Donald_Knuth","8095","","63065","20210214214528"
"74","Digital_signal_processing","8525","","22667","20210216140830"
"75","Document_type_definition","8537","","44890","20201226220836"
"76","Dynamic_Host_Configuration_Protocol","8622","","51557","20210223222811"
"77","Dan_Bricklin","8668","","13304","20210206221959"
"78","Data_compression_ratio","8681","","5626","20201227151626"
"79","Dhrystone","8709","","7419","20210217001733"
"80","David_Deutsch","8729","","15831","20210212225854"
"81","Delaunay_triangulation","8864","","27996","20210228052625"
"82","Debit_card","9008","","98697","20210303133817"
"83","Electronic_paper","9225","","39860","20210209185523"
"84","Extractor_(mathematics)","9309","","2203","20200806112032"
"85","Electrical_engineering","9531","","84602","20210301053237"
"86","Erlang_(programming_language)","9646","","42109","20210304141812"
"87","Entscheidungsproblem","9672","","10697","20201219061613"
"88","Exabyte","9756","","148","20201226223054"
"89","Extended_Industry_Standard_Architecture","9781","","15442","20210125151947"
"90","Execution_unit","9828","","1617","20210113180835"
"91","Linear_filter","9975","","23231","20201011011655"
"92","Edsger_W._Dijkstra","10018","","121890","20210307142750"
"93","Expert_system","10136","","44938","20210225075332"
"94","ELIZA_effect","10236","","9680","20201226131639"
"95","Erlang_(unit)","10283","","22554","20210215023940"
"96","Amiga_Enhanced_Chip_Set","10359","","3218","20200523150129"
"97","Error_detection_and_correction","10375","","34244","20210301234746"
"98","Elementary_function","10412","","8920","20210217223513"
"99","Foonly","10909","","8629","20210303163300"
"100","Formal_language","10939","","23996","20210224201033"
"101","Field-programmable_gate_array","10969","","52480","20210305153000"
"102","Forth_(programming_language)","11012","","49616","20210221074605"
"103","List_of_programmers","11026","","38661","20210217124416"
"104","Frame_problem","11306","","28872","20210221224026"
"105","Feedback","11545","","46582","20210228043036"
"106","Fred_Brooks","11652","","14574","20210225162405"
"107","Game_theory","11924","","118403","20210227203428"
"108","Gigabyte","12570","","12904","20210216044751"
"109","Grace_Hopper","12590","","64356","20210305151531"
"110","Grid_network","12600","","2076","20200502024117"
"111","Galileo_(satellite_navigation)","13009","","88708","20210302145115"
"112","HTML","13191","","84063","20210228175001"
"113","Hypertext_Transfer_Protocol","13443","","38676","20210304173550"
"114","Source_tracking","13501","","812","20210203204734"
"115","HTTPS","13586","","39054","20210227192447"
"116","History_of_computing_hardware","13636","","149459","20210304025246"
"117","Microsoft_Windows_version_history","13694","","72144","20210305204248"
"118","\"Hello,_World!\"_program","13834","","16214","20210217222521"
"119","Handheld_game_console","14199","","84041","20210227150300"
"120","Herbert_A._Simon","14205","","53325","20210228172910"
"121","Information_theory","14773","","45973","20210221063338"
"122","International_Olympiad_in_Informatics","14777","","19664","20210214234818"
"123","Integer_(computer_science)","14794","","25909","20210222190648"
"124","Idempotence","14972","","19454","20210208134300"
"125","Industry_Standard_Architecture","15029","","24126","20210213144248"
"126","Information_security","15036","","99800","20210306190528"
"127","Internetworking","15067","","11990","20210205221937"
"128","Instruction_register","15072","","2104","20200315054541"
"129","Integrated_circuit","15150","","80850","20210302104930"
"130","Instrument_flight_rules","15242","","24232","20210219231531"
"131","Entropy_(information_theory)","15445","","55541","20210228234304"
"132","Internet_protocol_suite","15476","","47659","20210224084106"
"133","Integer_factorization","15491","","21840","20210303021958"
"134","Java_(programming_language)","15881","","75541","20210304182523"
"135","Just_another_Perl_hacker","16485","","9265","20201012210102"
"136","Kilobyte","16794","","10983","20210305062018"
"137","Kerberos_(protocol)","16947","","24902","20210215102104"
"138","Khornerstone","17091","","1199","20210207045244"
"139","Key_frame","17116","","4579","20201018181204"
"140","FX-87","17139","","1456","20210207032832"
"141","Killer_poke","17148","","7450","20201226214743"
"142","Kilobit","17152","","2842","20210222174825"
"143","KISS_(system)","17175","","326","20200821222355"
"144","KL0","17178","","754","20201018184825"
"145","KL1","17179","","1251","20201018184755"
"146","KL-ONE","17188","","3236","20201214021151"
"147","KOMPILER","17212","","827","20200821222804"
"148","Kent_Recursive_Calculator","17224","","2374","20201018184958"
"149","KRL_(programming_language)","17227","","1826","20201018185404"
"150","Knowledge_Systems_Laboratory","17232","","1967","20210131233545"
"151","Kevin_Warwick","17453","","59892","20210228020614"
"152","Lisp_(programming_language)","18016","","78748","20210218164802"
"153","Lambda_calculus","18203","","80321","20210226203151"
"154","Lossy_compression","18208","","28174","20210304125614"
"155","Lossless_compression","18209","","34184","20201217000821"
"156","Legacy_system","18295","","20777","20210214003816"
"157","Logo_(programming_language)","18334","","23683","20210213235708"
"158","Lynx_(programming_language)","18530","","739","20200821223225"
