"number","title","pageid","namespace","length","touched"
"1","Design_of_experiments","9541","","41082","20210302181502"
"2","Efficiency_factor","41089","","1501","20190422143924"
"3","Operations_research","43476","","47601","20210212212509"
"4","Industrial_ecology","223898","","25764","20201221142814"
"5","Value_engineering","326634","","7975","20210128073502"
"6","Optimal_design","1292142","","44266","20201211141118"
"7","Lang_factor","1306999","","2454","20200708003713"
"8","Methods_engineering","1399085","","4653","20180208224706"
"9","Time_and_motion_study","1682021","","16722","20210129230204"
"10","Bayesian_experimental_design","1706860","","10636","20200620192331"
"11","Maynard_operation_sequence_technique","1934301","","3126","20191118161422"
"12","Operational-level_agreement","2016437","","1742","20201130015435"
"13","Criticality_matrix","2426119","","548","20180208184525"
"14","Pilot_plant","3050976","","11771","20200827114913"
"15","Axiomatic_design","3309687","","4583","20210121140927"
"16","Response_surface_methodology","4481194","","11986","20210113165845"
"17","Standard_time_(manufacturing)","4819374","","3374","20170927004433"
"18","Packaging_engineering","7710805","","5836","20201203145622"
"19","Manufacturing_Engineering_Centre","9512445","","3556","20200502020849"
"20","Manufacturing_engineering","11200529","","29464","20210204025621"
"21","Needs_analysis","11265546","","4838","20200330215905"
"22","Health_systems_engineering","11592003","","2027","20200216074452"
"23","Richard_Muther_(industrial_engineer)","12112898","","6810","20210114211505"
"24","Maintenance_engineering","12117291","","5013","20210301174745"
"25","Work_measurement","13530209","","17376","20201114164033"
"26","Follow-the-sun","14506616","","12128","20201130183940"
"27","Source_reduction","16544416","","3397","20210128024706"
"28","Operations_and_technology_management","17524976","","3283","20210101235221"
"29","Continuous_emissions_monitoring_system","18860788","","9801","20210109190412"
"30","Reverse_engineering","18935488","","51113","20210302065627"
"31","KFUPM_Program_of_Industrial_and_Systems_Engineering","20596852","","1882","20200827020500"
"32","Component_engineering","21037206","","2007","20190108124314"
"33","H._Milton_Stewart_School_of_Industrial_and_Systems_Engineering","21499689","","1122","20191229230748"
"34","Material_flow","22674559","","784","20210301195617"
"35","Industrial_engineering","23535218","","28567","20210302045922"
"36","Blend_time","24670919","","2556","20130510221554"
"37","Society_for_Health_Systems","24820068","","762","20200503032347"
"38","Package_testing","26602975","","39142","20210306162008"
"39","Indian_Institution_of_Industrial_Engineering","26854583","","10844","20200503031755"
"40","Process_layout","27688852","","2195","20190422095101"
"41","Lawler's_algorithm","27776362","","4664","20210126232824"
"42","Society_of_Industrial_Engineering","29479453","","4380","20191029034925"
"43","Service_quality","30185559","","15285","20210110205016"
"44","Work_sampling","30199846","","6671","20201212201303"
"45","Worker–machine_activity_chart","30492484","","1952","20200531084336"
"46","Defect_concentration_diagram","30493844","","1786","20200917082657"
"47","Systematic_layout_planning","30498690","","1570","20191219184314"
"48","Product_layout","30502980","","1103","20200921175154"
"49","Flow_process_chart","30504688","","3992","20210305220654"
"50","Standard_data_system","30504729","","1037","20200921093420"
"51","Standard_time_in_manufacturing","30513529","","1449","20210304181743"
"52","Performance_rating_(work_measurement)","30549030","","7150","20170426152316"
"53","Operation_chart","30578054","","1325","20170625094212"
"54","PFD_allowance","30578688","","2830","20201019124917"
"55","Inspection_in_manufacturing","30580661","","838","20200106184752"
"56","Activity_relationship_chart","30596972","","1909","20190601151224"
"57","Left-hand–right-hand_activity_chart","30612124","","855","20210303151536"
"58","Human_factors_and_ergonomics","36479878","","60951","20210220184741"
"59","Production_flow_analysis","39945265","","2360","20190219225023"
"60","Industrial_and_production_engineering","43282531","","62042","20201212015502"
"61","Asset_health_management","44210335","","2866","20191014143635"
"62","Human_Factors_in_Engineering_and_Design","44731194","","2775","20201026031149"
"63","Design_space_exploration","45233993","","4011","20200901212019"
"64","Engineering_administration","49917862","","1273","20200727213709"
"65","Operations_engineering","49937269","","854","20180212222054"
"66","Demonstration_plant","49971152","","3248","20190702011059"
"67","Institute_of_Industrial_and_Systems_Engineers","50030175","","6207","20200503031815"
"68","Routing_diagram","54069370","","3199","20180216095213"
"69","Multivalued_treatment","54248486","","3919","20201120164703"
"70","Power_plant_engineering","57164504","","19717","20210214121329"
"71","Edward_Cockey","60410154","","20929","20210107202052"
