"number","title","pageid","namespace","length","touched"
"1","Gibbs_Brothers_Medal","196079","","4171","20200121132719"
"2","Marine_engineering","3552729","","13538","20210102182002"
"3","John_Elder_Professor_of_Naval_Architecture_and_Ocean_Engineering","4899936","","1335","20190309032602"
"4","Marine_heat_exchanger","6187822","","5774","20210104080247"
"5","Tactical_diameter","31267659","","613","20150528093746"
"6","Lightening_holes","36652063","","8946","20200510202342"
"7","FORAN_System","38751971","","8609","20190920183650"
"8","Parbuckle_salvage","40039971","","18698","20210220161620"
"9","Butterworth_Cover","43017619","","3326","20200608140752"
"10","Regional_Scale_Nodes","43891438","","26428","20200808150055"
"11","Marine_pump","48369399","","3300","20200819111414"
"12","Airbag_launching","48707247","","10288","20210105233408"
"13","Solutions_for_cavitation_in_marine_propellers","49646704","","6322","20200102182640"
"14","Marine_thruster","51086269","","6078","20201216152518"
"15","IEEE_Journal_of_Oceanic_Engineering","53751928","","1400","20201021032324"
"16","BOQA","57133818","","10497","20210219192607"
"17","AS_Labruna","63577372","","2575","20200707205325"
"18","CMD_–_Costruzioni_Motori_Diesel_S.p.A.","63578074","","4518","20201218083603"
