"number","title","pageid","namespace","length","touched"
"1","Petroleum_engineering","65465","","19183","20201226161731"
"2","Oil_rig","599523","","1275","20200821022957"
"3","Society_of_Exploration_Geophysicists","794527","","15875","20210210223308"
"4","Drilling_rig","1241965","","43885","20210222123430"
"5","Society_of_Petroleum_Engineers","1635629","","23815","20210209070724"
"6","Engineers_India","1896918","","7266","20210223165124"
"7","Fluor_Corporation","2781586","","37115","20210129042932"
"8","Kelly_hose","3516085","","1023","20210220145519"
"9","Dipmeter_Advisor","3971814","","3620","20190929092115"
"10","Saybolt_universal_viscosity","5291664","","2514","20200304122149"
"11","Reservoir_engineering","5879295","","3852","20210122003003"
"12","Petrophysics","6419756","","13662","20210228013027"
"13","Subsurface_engineer","7897442","","5085","20210115094140"
"14","Leverett_J-function","9105584","","3548","20201231145211"
"15","Slickline","10369551","","21992","20200906230840"
"16","Marsh_funnel","12564389","","5206","20190722143048"
"17","Volume_units_used_in_petroleum_engineering","13210188","","1492","20160526021333"
"18","Tracer_use_in_the_oil_industry","14664777","","1240","20191218025444"
"19","Apparent_viscosity","17728993","","2885","20210222173612"
"20","Measured_depth","17827134","","1395","20181209153730"
"21","Directional_well","17827804","","767","20181224142830"
"22","Estimated_pore_pressure","17836373","","850","20181102203245"
"23","Corrected_d-exponent","17837331","","5204","20190913203315"
"24","Deviation_survey","17848037","","2204","20201024104914"
"25","Flow_line","18082975","","1683","20210304041552"
"26","Casing_head","18083499","","1000","20131026204822"
"27","Conductor_pipe","18083912","","2613","20210128010437"
"28","Bell_nipple","18084359","","497","20130402193238"
"29","Possum_belly","18085080","","1554","20191003201525"
"30","Flow_show","18085730","","1553","20130620161337"
"31","Desander","18099775","","2517","20210130233834"
"32","Swivel_(drill_rig)","18100479","","852","20130311114104"
"33","Traveling_block","18101119","","859","20210220145528"
"34","Crown_block","18101972","","861","20190302015401"
"35","Pipe_rack","18102944","","2492","20200320010203"
"36","Tripping_(pipe)","18103506","","5609","20180427144432"
"37","SPE_Certified_Petroleum_Professional","18421265","","5493","20191015111543"
"38","Klinkenberg_correction","19589262","","4752","20191117232218"
"39","Minipermeameter","19589623","","993","20180129134222"
"40","Cement_bond_log","20754622","","1733","20191014205123"
"41","Integrated_operations","21106847","","12537","20201119074102"
"42","Squeeze_job","21240294","","2989","20201224164045"
"43","Amott_test","21391441","","2927","20201213003928"
"44","Top_drive","22615556","","4270","20200529195529"
"45","Integrated_Operations_in_the_High_North","22713707","","8797","20200124080718"
"46","Society_of_Petroleum_Evaluation_Engineers","24505830","","1280","20200503032420"
"47","Pore_pressure_gradient","25684865","","3629","20200202221930"
"48","Steam_stripping","26346355","","1219","20200318104204"
"49","Seismic_attribute","27047436","","8017","20201017132918"
"50","European_Association_of_Geoscientists_and_Engineers","28034097","","4416","20210202124210"
"51","SPE_John_Franklin_Carll_Award","29631628","","572","20160712051542"
"52","Petroleum_production_engineering","30695016","","2071","20170624124409"
"53","Oil_well_control","31428107","","41072","20210210222134"
"54","Steel_catenary_riser","31591708","","8755","20210126191403"
"55","Integrated_asset_modelling","33193914","","8709","20200611123318"
"56","Hydraulic_fracturing_proppants","34494017","","10674","20201119201621"
"57","Mohamed_Yousef_Soliman","39370689","","7493","20201217091600"
"58","Invisible_Lost_Time","48752419","","1997","20210129092720"
"59","Rise_in_core","49613313","","16178","20201231153249"
"60","Miller_and_Lents","53959142","","7654","20200714063822"
"61","TEM-function","63909474","","5455","20201217004117"
